Algoritm,Seed,Max Iter,Initial Temp,Alpha,Energy,Time (s)
SA,4,75000,500,0.7,12908.0,3.503
SA,4,75000,500,0.8,12663.0,3.257
SA,4,75000,500,0.9,12929.0,3.548
SA,4,75000,500,0.99,12886.0,2.988
SA,4,75000,1000,0.7,12908.0,3.203
SA,4,75000,1000,0.8,12954.0,3.324
SA,4,75000,1000,0.9,12886.0,2.970
SA,4,75000,1000,0.99,12908.0,3.098
SA,4,75000,2000,0.7,12908.0,2.970
SA,4,75000,2000,0.8,12954.0,3.177
SA,4,75000,2000,0.9,12865.0,3.119
SA,4,75000,2000,0.99,12805.0,3.427
SA,4,75000,5000,0.7,12954.0,3.437
SA,4,75000,5000,0.8,12954.0,3.141
SA,4,75000,5000,0.9,12911.0,3.171
SA,4,75000,5000,0.99,12933.0,3.642
SA,4,100000,10,0.7,12834.0,3.289
SA,4,100000,10,0.8,12834.0,3.304
SA,4,100000,10,0.9,12834.0,3.965
SA,4,100000,10,0.99,12928.0,3.692
SA,4,100000,50,0.7,12834.0,3.835
SA,4,100000,50,0.8,12834.0,2.990
SA,4,100000,50,0.9,12908.0,3.935
SA,4,100000,50,0.99,12941.0,3.497
SA,4,100000,100,0.7,12853.0,3.705
SA,4,100000,100,0.8,12908.0,3.683
SA,4,100000,100,0.9,12663.0,3.572
SA,4,100000,100,0.99,13018.0,3.028
SA,4,100000,200,0.7,12908.0,3.152
SA,4,100000,200,0.8,12908.0,3.465
SA,4,100000,200,0.9,12923.0,3.974
SA,4,100000,200,0.99,12913.0,3.558
SA,4,100000,500,0.7,12908.0,3.255
SA,4,100000,500,0.8,12663.0,3.041
SA,4,100000,500,0.9,12929.0,3.403
SA,4,100000,500,0.99,12886.0,3.105
SA,4,100000,1000,0.7,12908.0,3.802
SA,4,100000,1000,0.8,12954.0,3.590
SA,4,100000,1000,0.9,12886.0,3.033
SA,4,100000,1000,0.99,12908.0,3.200
SA,4,100000,2000,0.7,12908.0,3.067
SA,4,100000,2000,0.8,12954.0,3.132
SA,4,100000,2000,0.9,12865.0,3.948
SA,4,100000,2000,0.99,12805.0,3.544
SA,4,100000,5000,0.7,12954.0,2.959
SA,4,100000,5000,0.8,12954.0,3.412
SA,4,100000,5000,0.9,12911.0,3.710
SA,4,100000,5000,0.99,12933.0,3.106
SA,5,50000,10,0.7,12883.0,2.946
SA,5,50000,10,0.8,12883.0,3.005
SA,5,50000,10,0.9,12883.0,2.947
SA,5,50000,10,0.99,12849.0,3.389
SA,5,50000,50,0.7,12876.0,3.405
SA,5,50000,50,0.8,12876.0,3.366
SA,5,50000,50,0.9,12924.0,4.182
SA,5,50000,50,0.99,12891.0,3.499
SA,5,50000,100,0.7,12876.0,3.401
SA,5,50000,100,0.8,12877.0,2.983
SA,5,50000,100,0.9,12867.0,3.475
SA,5,50000,100,0.99,12942.0,3.553
SA,5,50000,200,0.7,12876.0,3.470
SA,5,50000,200,0.8,12974.0,3.554
SA,5,50000,200,0.9,12840.0,3.023
SA,5,50000,200,0.99,12876.0,3.014
SA,5,50000,500,0.7,12866.0,3.427
SA,5,50000,500,0.8,12836.0,3.657
SA,5,50000,500,0.9,12948.0,3.001
SA,5,50000,500,0.99,12765.0,3.647
SA,5,50000,1000,0.7,12866.0,2.789
SA,5,50000,1000,0.8,12836.0,3.004
SA,5,50000,1000,0.9,12911.0,3.554
SA,5,50000,1000,0.99,12877.0,3.233
SA,5,50000,2000,0.7,12916.0,3.380
SA,5,50000,2000,0.8,12836.0,3.038
SA,5,50000,2000,0.9,12868.0,3.350
SA,5,50000,2000,0.99,12974.0,3.443
SA,5,50000,5000,0.7,12916.0,2.939
SA,5,50000,5000,0.8,12872.0,3.233
SA,5,50000,5000,0.9,12830.0,3.365
SA,5,50000,5000,0.99,12764.0,3.015
SA,5,75000,10,0.7,12883.0,3.427
SA,5,75000,10,0.8,12883.0,3.105
SA,5,75000,10,0.9,12883.0,3.049
SA,5,75000,10,0.99,12849.0,2.972
SA,5,75000,50,0.7,12876.0,3.462
SA,5,75000,50,0.8,12876.0,3.504
SA,5,75000,50,0.9,12924.0,3.391
SA,5,75000,50,0.99,12891.0,2.657
SA,5,75000,100,0.7,12876.0,2.930
SA,5,75000,100,0.8,12877.0,2.541
SA,5,75000,100,0.9,12867.0,2.701
SA,5,75000,100,0.99,12942.0,2.603
SA,5,75000,200,0.7,12876.0,2.687
SA,5,75000,200,0.8,12974.0,2.829
SA,5,75000,200,0.9,12840.0,2.617
SA,5,75000,200,0.99,12876.0,3.237
SA,5,75000,500,0.7,12866.0,2.620
SA,5,75000,500,0.8,12836.0,3.504
SA,5,75000,500,0.9,12948.0,2.858
SA,5,75000,500,0.99,12765.0,3.193
SA,5,75000,1000,0.7,12866.0,2.609
SA,5,75000,1000,0.8,12836.0,2.592
SA,5,75000,1000,0.9,12911.0,3.058
SA,5,75000,1000,0.99,12877.0,2.592
SA,5,75000,2000,0.7,12916.0,2.750
SA,5,75000,2000,0.8,12836.0,2.952
SA,5,75000,2000,0.9,12868.0,2.589
SA,5,75000,2000,0.99,12974.0,2.537
SA,5,75000,5000,0.7,12916.0,2.694
SA,5,75000,5000,0.8,12872.0,3.045
SA,5,75000,5000,0.9,12830.0,2.748
SA,5,75000,5000,0.99,12764.0,2.567
SA,5,100000,10,0.7,12883.0,2.479
SA,5,100000,10,0.8,12883.0,3.478
SA,5,100000,10,0.9,12883.0,2.564
SA,5,100000,10,0.99,12849.0,3.036
SA,5,100000,50,0.7,12876.0,3.626
SA,5,100000,50,0.8,12876.0,3.659
SA,5,100000,50,0.9,12924.0,2.555
SA,5,100000,50,0.99,12891.0,3.114
SA,5,100000,100,0.7,12876.0,2.465
SA,5,100000,100,0.8,12877.0,2.934
SA,5,100000,100,0.9,12867.0,3.891
SA,5,100000,100,0.99,12942.0,2.586
SA,5,100000,200,0.7,12876.0,4.231
SA,5,100000,200,0.8,12974.0,2.492
SA,5,100000,200,0.9,12840.0,3.067
SA,5,100000,200,0.99,12876.0,3.014
SA,5,100000,500,0.7,12866.0,2.727
SA,5,100000,500,0.8,12836.0,3.977
SA,5,100000,500,0.9,12948.0,2.897
SA,5,100000,500,0.99,12765.0,2.605
SA,5,100000,1000,0.7,12866.0,3.563
SA,5,100000,1000,0.8,12836.0,3.819
SA,5,100000,1000,0.9,12911.0,2.499
SA,5,100000,1000,0.99,12877.0,2.562
SA,5,100000,2000,0.7,12916.0,2.435
SA,5,100000,2000,0.8,12836.0,2.582
SA,5,100000,2000,0.9,12868.0,2.791
SA,5,100000,2000,0.99,12974.0,2.931
SA,5,100000,5000,0.7,12916.0,2.585
SA,5,100000,5000,0.8,12872.0,2.588
SA,5,100000,5000,0.9,12830.0,3.062
SA,5,100000,5000,0.99,12764.0,2.825
SA,6,50000,10,0.7,12859.0,2.670
SA,6,50000,10,0.8,12859.0,2.451
SA,6,50000,10,0.9,12859.0,2.437
SA,6,50000,10,0.99,12953.0,3.001
